Timestamp,Violation Type
2026-05-10 18:54:07,Looking Right
2026-05-10 18:54:30,Looking Down
2026-05-10 18:54:37,ALERT: Student Not Visible
2026-05-10 18:54:44,Looking Left
2026-05-10 18:55:32,Looking Down
2026-05-10 18:55:48,CHEATING: Phone Detected!
2026-05-10 18:55:54,CHEATING: Phone Detected!
2026-05-10 18:56:05,CHEATING: Phone Detected!
2026-05-10 18:56:15,Looking Left
2026-05-10 18:56:45,Looking Left
2026-05-10 19:04:05,Looking Right
2026-05-10 19:04:11,Looking Left
2026-05-10 19:04:21,CHEATING: Phone Detected!
2026-05-10 19:04:27,CHEATING: Phone Detected!
2026-05-10 19:09:58,Looking Right
2026-05-10 19:10:04,Looking Right
2026-05-10 19:10:14,Looking Right
2026-05-10 19:10:20,Looking Left
2026-05-10 19:10:27,WARNING: Multiple Faces!
2026-05-10 19:10:33,ALERT: Student Not Visible
2026-05-10 19:10:39,CHEATING: Phone Detected!
2026-05-10 19:10:50,Looking Right
2026-05-10 19:10:56,Looking Left
2026-05-10 19:11:02,ALERT: Student Not Visible
2026-05-10 19:11:15,CHEATING: Phone Detected!
